"","brand","emotion","age","n"
"185","100 grand bar","despair",63,1
"186","100 grand bar","despair",72,1
"187","100 grand bar","despair",74,1
"188","100 grand bar","joy",7,1
"189","100 grand bar","joy",8,1
"190","100 grand bar","joy",10,1
"191","100 grand bar","joy",71,1
"192","100 grand bar","joy",77,1
"193","100 grand bar","joy",85,1
"194","100 grand bar","joy",97,1
"195","100 grand bar","joy",99,1
"196","100 grand bar","neutral",7,1
"197","100 grand bar","neutral",8,1
"198","100 grand bar","neutral",9,1
"199","100 grand bar","neutral",10,1
"200","100 grand bar","neutral",61,1
"201","100 grand bar","neutral",63,1
"202","100 grand bar","neutral",66,1
"203","100 grand bar","neutral",68,1
"204","100 grand bar","neutral",71,1
"205","100 grand bar","neutral",72,1
"206","100 grand bar","neutral",99,1
"207","bonkers","despair",30,174
"208","bonkers","despair",31,162
"209","bonkers","despair",32,159
"210","bonkers","despair",35,156
"211","bonkers","despair",33,146
"212","bonkers","despair",45,141
"213","bonkers","despair",29,130
"214","bonkers","despair",34,127
"215","bonkers","despair",27,126
"216","bonkers","despair",26,112
"217","bonkers","despair",28,111
"218","bonkers","despair",37,102
"219","bonkers","despair",36,101
"220","bonkers","despair",38,101
"221","bonkers","despair",46,98
"222","bonkers","despair",40,97
"223","bonkers","despair",41,89
"224","bonkers","despair",44,89
"225","bonkers","despair",39,85
"226","bonkers","despair",42,83
"227","bonkers","despair",43,82
"228","bonkers","despair",50,80
"229","bonkers","despair",24,79
"230","bonkers","despair",25,74
"231","bonkers","despair",23,62
"232","bonkers","despair",47,60
"233","bonkers","despair",52,60
"234","bonkers","despair",22,56
"235","bonkers","despair",48,56
"236","bonkers","neutral",30,54
"237","bonkers","despair",49,53
"238","bonkers","despair",51,51
"239","bonkers","neutral",34,50
"240","bonkers","neutral",27,47
"241","bonkers","neutral",35,47
"242","bonkers","neutral",32,46
"243","bonkers","neutral",28,45
"244","bonkers","neutral",31,45
"245","bonkers","despair",55,43
"246","bonkers","neutral",29,42
"247","bonkers","neutral",33,42
"248","bonkers","despair",21,41
"249","bonkers","despair",58,39
"250","bonkers","despair",53,38
"251","bonkers","joy",35,38
"252","bonkers","joy",34,37
"253","bonkers","neutral",25,37
"254","bonkers","neutral",26,37
"255","bonkers","neutral",44,37
"256","bonkers","despair",54,35
"257","bonkers","despair",57,34
"258","bonkers","neutral",36,34
"259","bonkers","joy",36,32
"260","bonkers","joy",37,32
"261","bonkers","joy",40,32
"262","bonkers","neutral",24,32
"263","bonkers","neutral",40,32
"264","bonkers","despair",20,31
"265","bonkers","neutral",45,31
"266","bonkers","despair",19,30
"267","bonkers","joy",33,29
"268","bonkers","joy",38,29
"269","bonkers","neutral",39,29
"270","bonkers","neutral",38,28
"271","bonkers","despair",56,27
"272","bonkers","neutral",42,27
"273","bonkers","neutral",43,27
"274","bonkers","neutral",37,26
"275","bonkers","despair",18,24
"276","bonkers","joy",42,22
"277","bonkers","despair",60,21
"278","bonkers","despair",62,20
"279","bonkers","joy",32,19
"280","bonkers","neutral",41,19
"281","bonkers","despair",16,18
"282","bonkers","joy",45,18
"283","bonkers","neutral",47,18
"284","bonkers","despair",17,17
"285","bonkers","despair",59,17
"286","bonkers","neutral",22,17
"287","bonkers","despair",13,16
"288","bonkers","joy",43,16
"289","bonkers","neutral",21,16
