"brand","emotion","age","n"
"bonkers","despair",32,159
"bonkers","despair",35,156
"bonkers","despair",33,146
"bonkers","despair",45,141
"bonkers","despair",29,130
"bonkers","despair",34,127
"bonkers","despair",27,126
"bonkers","despair",26,112
"bonkers","despair",28,111
"bonkers","despair",37,102
"bonkers","despair",36,101
"bonkers","despair",38,101
"bonkers","despair",46,98
"bonkers","despair",40,97
"bonkers","despair",41,89
"bonkers","despair",44,89
"bonkers","despair",39,85
"bonkers","despair",42,83
"bonkers","despair",43,82
"bonkers","despair",50,80
"bonkers","despair",24,79
"bonkers","despair",25,74
"bonkers","despair",23,62
"bonkers","despair",47,60
"bonkers","despair",52,60
"bonkers","despair",22,56
"bonkers","despair",48,56
"bonkers","neutral",30,54
"bonkers","despair",49,53
"bonkers","despair",51,51
"bonkers","neutral",34,50
"bonkers","neutral",27,47
"bonkers","neutral",35,47
"bonkers","neutral",32,46
"bonkers","neutral",28,45
"bonkers","neutral",31,45
"bonkers","despair",55,43
"bonkers","neutral",29,42
"bonkers","neutral",33,42
"bonkers","despair",21,41
"bonkers","despair",58,39
"bonkers","despair",53,38
"bonkers","joy",35,38
"bonkers","joy",34,37
"bonkers","neutral",25,37
"bonkers","neutral",26,37
"bonkers","neutral",44,37
"bonkers","despair",54,35
"bonkers","despair",57,34
"bonkers","neutral",36,34
"bonkers","joy",36,32
"bonkers","joy",37,32
"bonkers","joy",40,32
"bonkers","neutral",24,32
"bonkers","neutral",40,32
"bonkers","despair",20,31
"bonkers","neutral",45,31
"bonkers","despair",19,30
"bonkers","joy",33,29
"bonkers","joy",38,29
"bonkers","neutral",39,29
"bonkers","neutral",38,28
"bonkers","despair",56,27
"bonkers","neutral",42,27
"bonkers","neutral",43,27
"bonkers","neutral",37,26
"bonkers","despair",18,24
"bonkers","joy",42,22
"bonkers","despair",60,21
"bonkers","despair",62,20
"bonkers","joy",32,19
"bonkers","neutral",41,19
"bonkers","despair",16,18
"bonkers","joy",45,18
"bonkers","neutral",47,18
"bonkers","despair",17,17
"bonkers","despair",59,17
"bonkers","neutral",22,17
"bonkers","despair",13,16
"bonkers","joy",43,16
"bonkers","neutral",21,16
"bonkers","neutral",46,16
"bonkers","joy",39,15
"bonkers","neutral",20,15
"bonkers","despair",67,14
"bonkers","despair",61,13
"bonkers","neutral",18,13
"bonkers","neutral",23,13
"bonkers","neutral",54,13
"bonkers","despair",64,12
"bonkers","joy",46,12
"bonkers","neutral",19,12
"bonkers","neutral",48,12
"bonkers","despair",12,11
"bonkers","despair",63,11
"bonkers","despair",65,11
"bonkers","joy",30,11
"bonkers","joy",31,11
"bonkers","despair",66,10
"bonkers","joy",28,10
"bonkers","joy",47,10
"bonkers","joy",50,10
"bonkers","neutral",53,10
"bonkers","neutral",56,10
"bonkers","neutral",58,10
"bonkers","despair",14,9
"bonkers","despair",15,9
"bonkers","joy",29,9
"bonkers","neutral",49,9
"bonkers","neutral",52,9
"bonkers","neutral",59,9
"bonkers","despair",69,8
"bonkers","joy",41,8
"bonkers","joy",44,8
"bonkers","neutral",13,8
"bonkers","neutral",51,8
"bonkers","neutral",57,8
"bonkers","joy",25,7
"bonkers","joy",51,7
"bonkers","joy",53,7
"bonkers","neutral",50,7
"bonkers","neutral",55,7
"bonkers","joy",24,6
"bonkers","joy",26,6
"bonkers","joy",27,6
"bonkers","joy",48,6
"bonkers","joy",49,6
"bonkers","joy",54,6
"bonkers","neutral",14,6
"bonkers","neutral",17,6
"bonkers","despair",9,5
"bonkers","despair",70,5
"bonkers","joy",21,5
"bonkers","joy",52,5
"bonkers","neutral",64,5
"bonkers","neutral",65,5
"bonkers","neutral",67,5
"bonkers","neutral",70,5
"bonkers","despair",68,4
"bonkers","despair",72,4
"bonkers","joy",17,4
"bonkers","despair",10,3
"bonkers","despair",11,3
"bonkers","despair",71,3
"bonkers","despair",74,3
"bonkers","joy",9,3
"bonkers","joy",11,3
"bonkers","joy",62,3
"bonkers","neutral",8,3
"bonkers","neutral",60,3
"bonkers","neutral",61,3
"bonkers","neutral",66,3
"bonkers","despair",6,2
"bonkers","despair",75,2
"bonkers","joy",18,2
"bonkers","joy",23,2
"bonkers","joy",57,2
"bonkers","joy",58,2
"bonkers","joy",60,2
"bonkers","joy",61,2
"bonkers","neutral",6,2
"bonkers","neutral",11,2
"bonkers","neutral",16,2
"bonkers","neutral",63,2
"bonkers","neutral",71,2
"bonkers","despair",5,1
"bonkers","despair",7,1
"bonkers","despair",8,1
"bonkers","despair",77,1
"bonkers","despair",85,1
"bonkers","despair",97,1
"bonkers","despair",99,1
"bonkers","joy",10,1
"bonkers","joy",13,1
"bonkers","joy",16,1
"bonkers","joy",20,1
"bonkers","joy",22,1
"bonkers","joy",55,1
"bonkers","joy",59,1
"bonkers","joy",69,1
"bonkers","neutral",7,1
"bonkers","neutral",9,1
"bonkers","neutral",10,1
"bonkers","neutral",12,1
"bonkers","neutral",15,1
"bonkers","neutral",62,1
"bonkers","neutral",68,1
"bonkers","neutral",72,1
"bonkers","neutral",75,1
"bonkers","neutral",99,1
"bubble gum","despair",35,188
"bubble gum","despair",32,171
"bubble gum","despair",30,164
"bubble gum","despair",31,155
"bubble gum","despair",33,153
"bubble gum","despair",29,136
"bubble gum","despair",34,135
"bubble gum","despair",45,128
"bubble gum","despair",27,125
"bubble gum","despair",36,121
"bubble gum","despair",37,117
"bubble gum","despair",28,111
"bubble gum","despair",38,111
"bubble gum","despair",40,106
"bubble gum","despair",46,98
"bubble gum","despair",26,95
"bubble gum","despair",39,87
"bubble gum","despair",43,87
"bubble gum","despair",41,86
"bubble gum","despair",42,83
"bubble gum","despair",44,79
"bubble gum","despair",25,69
"bubble gum","despair",24,68
"bubble gum","despair",50,59
"bubble gum","despair",47,58
"bubble gum","joy",34,55
"bubble gum","despair",52,53
"bubble gum","joy",30,53
"bubble gum","joy",31,51
"bubble gum","despair",22,50
"bubble gum","despair",48,50
"bubble gum","joy",26,49
"bubble gum","joy",45,49
"bubble gum","despair",23,48
"bubble gum","joy",33,47
"bubble gum","despair",51,45
"bubble gum","despair",49,44
"bubble gum","joy",27,44
"bubble gum","joy",32,44
"bubble gum","joy",40,40
"bubble gum","joy",35,39
"bubble gum","joy",25,38
"bubble gum","joy",28,38
"bubble gum","joy",44,38
"bubble gum","joy",42,37
"bubble gum","despair",53,36
"bubble gum","despair",58,36
"bubble gum","despair",55,35
"bubble gum","joy",29,35
"bubble gum","joy",38,35
"bubble gum","despair",54,34
"bubble gum","joy",24,33
"bubble gum","despair",21,32
"bubble gum","joy",37,31
"bubble gum","joy",50,31
"bubble gum","despair",57,29
"bubble gum","joy",36,29
"bubble gum","joy",39,29
"bubble gum","despair",20,28
"bubble gum","joy",43,26
"bubble gum","joy",21,25
"bubble gum","despair",56,24
"bubble gum","neutral",34,24
"bubble gum","despair",19,23
"bubble gum","joy",23,23
"bubble gum","joy",41,23
"bubble gum","joy",46,22
"bubble gum","neutral",30,22
"bubble gum","joy",49,21
"bubble gum","joy",22,20
"bubble gum","joy",48,20
"bubble gum","joy",18,19
"bubble gum","joy",47,19
"bubble gum","joy",51,19
"bubble gum","despair",60,18
"bubble gum","despair",62,18
"bubble gum","joy",52,18
"bubble gum","neutral",28,17
"bubble gum","neutral",33,17
"bubble gum","neutral",36,17
"bubble gum","neutral",44,17
"bubble gum","despair",59,16
"bubble gum","neutral",24,16
"bubble gum","despair",17,15
"bubble gum","despair",18,15
"bubble gum","joy",13,15
"bubble gum","joy",19,15
"bubble gum","joy",53,15
"bubble gum","joy",54,15
"bubble gum","neutral",40,15
"bubble gum","joy",20,14
"bubble gum","neutral",35,14
"bubble gum","despair",64,13
"bubble gum","joy",55,13
"bubble gum","neutral",39,13
"bubble gum","neutral",45,13
"bubble gum","despair",61,12
"bubble gum","despair",67,12
"bubble gum","joy",17,12
"bubble gum","joy",57,12
"bubble gum","neutral",31,12
"bubble gum","neutral",37,12
"bubble gum","neutral",38,12
"bubble gum","neutral",42,12
"bubble gum","neutral",43,12
"bubble gum","despair",63,11
"bubble gum","despair",65,11
"bubble gum","despair",66,11
"bubble gum","joy",16,11
"bubble gum","joy",56,11
"bubble gum","neutral",25,11
"bubble gum","neutral",26,11
"bubble gum","neutral",47,11
"bubble gum","joy",58,10
"bubble gum","neutral",27,10
"bubble gum","neutral",29,10
"bubble gum","despair",16,9
"bubble gum","neutral",32,9
"bubble gum","joy",14,8
"bubble gum","despair",12,7
"bubble gum","despair",69,7
"bubble gum","despair",70,7
"bubble gum","joy",59,7
"bubble gum","neutral",41,7
"bubble gum","neutral",50,7
"bubble gum","joy",11,6
"bubble gum","neutral",13,6
"bubble gum","neutral",23,6
"bubble gum","neutral",46,6
"bubble gum","despair",14,5
"bubble gum","joy",9,5
"bubble gum","joy",10,5
"bubble gum","joy",12,5
"bubble gum","joy",15,5
"bubble gum","joy",60,5
"bubble gum","joy",61,5
"bubble gum","joy",62,5
"bubble gum","joy",65,5
"bubble gum","neutral",18,5
"bubble gum","neutral",20,5
"bubble gum","neutral",21,5
"bubble gum","neutral",54,5
"bubble gum","neutral",58,5
"bubble gum","despair",13,4
"bubble gum","despair",15,4
"bubble gum","despair",71,4
"bubble gum","neutral",19,4
"bubble gum","neutral",22,4
"bubble gum","neutral",48,4
"bubble gum","neutral",53,4
"bubble gum","neutral",59,4
"bubble gum","neutral",67,4
"bubble gum","despair",9,3
"bubble gum","despair",68,3
"bubble gum","despair",72,3
"bubble gum","joy",6,3
"bubble gum","joy",8,3
"bubble gum","joy",67,3
"bubble gum","neutral",49,3
"bubble gum","neutral",52,3
"bubble gum","neutral",55,3
"bubble gum","neutral",57,3
"bubble gum","neutral",60,3
"bubble gum","neutral",64,3
"bubble gum","despair",74,2
"bubble gum","despair",75,2
"bubble gum","joy",68,2
"bubble gum","joy",69,2
"bubble gum","neutral",14,2
"bubble gum","neutral",51,2
"bubble gum","neutral",56,2
"bubble gum","neutral",66,2
"bubble gum","neutral",70,2
"bubble gum","despair",6,1
"bubble gum","despair",7,1
"bubble gum","despair",8,1
"bubble gum","despair",11,1
"bubble gum","despair",85,1
"bubble gum","despair",97,1
"bubble gum","joy",5,1
"bubble gum","joy",7,1
"bubble gum","joy",63,1
"bubble gum","joy",64,1
"bubble gum","joy",70,1
"bubble gum","joy",71,1
"bubble gum","joy",72,1
"bubble gum","joy",74,1
"bubble gum","joy",77,1
"bubble gum","joy",99,1
"bubble gum","neutral",9,1
"bubble gum","neutral",11,1
"bubble gum","neutral",15,1
"bubble gum","neutral",16,1
"bubble gum","neutral",61,1
"bubble gum","neutral",62,1
"bubble gum","neutral",63,1
"bubble gum","neutral",72,1
"bubble gum","neutral",75,1
"bubble gum","neutral",99,1
"butterfinger","joy",30,187
"butterfinger","joy",35,179
"butterfinger","joy",34,174
"butterfinger","joy",33,170
"butterfinger","joy",31,168
"butterfinger","joy",32,167
"butterfinger","joy",45,148
"butterfinger","joy",29,135
"butterfinger","joy",27,129
"butterfinger","joy",28,127
"butterfinger","joy",38,123
"butterfinger","joy",36,121
"butterfinger","joy",40,121
"butterfinger","joy",37,115
"butterfinger","joy",26,113
"butterfinger","joy",46,99
"butterfinger","joy",43,95
"butterfinger","joy",44,93
"butterfinger","joy",25,91
"butterfinger","joy",39,89
"butterfinger","joy",42,88
"butterfinger","joy",41,86
"butterfinger","joy",24,76
"butterfinger","joy",50,66
"butterfinger","joy",47,63
"butterfinger","joy",23,58
"butterfinger","joy",49,55
"butterfinger","joy",22,52
"butterfinger","despair",32,50
"butterfinger","joy",52,49
"butterfinger","joy",48,48
"butterfinger","joy",53,48
"butterfinger","despair",35,47
"butterfinger","joy",51,47
"butterfinger","joy",54,45
"butterfinger","despair",30,38
"butterfinger","joy",55,38
"butterfinger","despair",27,37
"butterfinger","joy",21,37
"butterfinger","despair",26,36
"butterfinger","despair",29,36
"butterfinger","despair",31,35
"butterfinger","despair",33,35
"butterfinger","joy",58,35
"butterfinger","despair",45,34
"butterfinger","joy",20,34
"butterfinger","joy",57,34
"butterfinger","despair",28,33
"butterfinger","despair",36,33
"butterfinger","despair",37,33
"butterfinger","despair",42,30
"butterfinger","despair",44,28
"butterfinger","joy",19,28
"butterfinger","despair",38,27
"butterfinger","despair",39,27
"butterfinger","joy",56,26
"butterfinger","despair",24,25
"butterfinger","despair",34,25
"butterfinger","despair",40,24
"butterfinger","despair",41,24
"butterfinger","despair",50,23
"butterfinger","joy",18,23
"butterfinger","despair",48,22
"butterfinger","despair",43,21
"butterfinger","despair",46,21
"butterfinger","despair",52,21
"butterfinger","joy",62,20
"butterfinger","despair",25,19
"butterfinger","joy",60,19
"butterfinger","despair",22,18
"butterfinger","despair",47,18
"butterfinger","despair",51,18
"butterfinger","despair",21,17
"butterfinger","joy",17,17
"butterfinger","despair",23,16
"butterfinger","joy",59,16
"butterfinger","neutral",24,16
"butterfinger","neutral",40,16
"butterfinger","neutral",31,15
"butterfinger","neutral",34,15
"butterfinger","neutral",35,15
"butterfinger","despair",18,14
"butterfinger","joy",16,14
"butterfinger","joy",61,14
"butterfinger","joy",67,14
"butterfinger","neutral",30,14
"butterfinger","neutral",42,14
"butterfinger","neutral",27,13
"butterfinger","neutral",36,13
"butterfinger","neutral",39,13
"butterfinger","neutral",44,13
"butterfinger","despair",49,12
"butterfinger","joy",13,12
"butterfinger","neutral",33,12
"butterfinger","neutral",37,12
"butterfinger","despair",19,11
"butterfinger","despair",58,11
"butterfinger","joy",12,11
"butterfinger","despair",17,10
"butterfinger","joy",66,10
"butterfinger","neutral",29,10
"butterfinger","despair",13,9
